id,actual_amount,comment,original_amount,rating,reduce_amount,delevery_amount,promotion_id,user_addr,create_time,update_time
1,25.98,Highly recommend this product,39.93,4,13.95,9,52,6 Tony Junction,2023-10-27,2023-10-27
2,25.1,Very satisfied with my purchase,54.31,5,29.21,9,90,6286 Fuller Lane,2023-04-19,2023-04-19
3,20.06,The product is perfect for my needs,50.2,4,30.14,14,3,467 Talisman Alley,2023-09-07,2023-09-07
4,12.17,The product is difficult to assemble,44.73,5,32.56,9,44,7255 Texas Circle,2023-05-06,2023-05-06
5,20.35,The product is a space-saver,51.38,2,31.03,11,28,2 Anderson Park,2023-04-13,2023-04-13
6,17.56,The product is a stress-reliever,56.79,5,39.23,14,67,45207 3rd Point,2023-10-03,2023-10-03
7,27.72,The product is a space-saver,35.21,3,7.49,16,94,34449 Twin Pines Court,2023-03-15,2023-03-15
8,25.76,The product is a confidence-booster,39.2,4,13.44,15,74,3248 Veith Point,2023-03-16,2023-03-16
9,13.86,The size runs small,33.21,5,19.35,13,14,5 Pepper Wood Drive,2023-12-30,2023-12-30
10,20.88,The product is a game-changer,37.25,4,16.37,13,56,1 Vahlen Plaza,2023-11-04,2023-11-04
11,13.85,The product is difficult to assemble,36.55,2,22.7,9,96,62404 Tony Road,2023-04-19,2023-04-19
12,23.74,The product is a great gift idea,37.33,1,13.59,16,49,8436 Mandrake Hill,2023-02-11,2023-02-11
13,24.16,The product is not durable,55.8,1,31.64,10,66,8572 Monica Park,2023-08-19,2023-08-19
14,27.89,The product is a must-have for every home,30.5,1,2.61,14,85,0037 Wayridge Junction,2023-05-14,2023-05-14
15,26.99,The product is difficult to assemble,55.62,3,28.63,14,37,961 2nd Crossing,2023-05-11,2023-05-11
16,20.91,order a size up,57.33,5,36.42,14,16,67 Burning Wood Parkway,2023-03-10,2023-03-10
17,23.33,Highly recommend this product,57.61,5,34.28,11,30,684 Arkansas Parkway,2023-11-04,2023-11-04
18,14.74,The product is not durable,38.43,2,23.69,15,72,1559 South Way,2023-10-07,2023-10-07
19,25.07,The price is too high for the quality,50.39,5,25.32,9,13,71058 Green Lane,2023-04-01,2023-04-01
20,28.61,The product is a conversation-starter,49.87,4,21.26,15,87,1 Leroy Junction,2023-04-30,2023-04-30
21,20.62,The product exceeded my expectations,36.97,3,16.35,11,55,5 Jackson Hill,2023-04-11,2023-04-11
22,25.34,The product is a crowd-pleaser,39.9,1,14.56,10,23,6569 Anderson Point,2023-06-04,2023-06-04
23,13.8,The product is a party-starter,44.61,5,30.81,13,50,46 Gina Lane,2023-12-08,2023-12-08
24,26.4,The product is difficult to assemble,31.66,1,5.26,10,21,14 Tony Place,2023-12-12,2023-12-12
25,11.66,great service,54.8,2,43.14,14,51,651 Lien Point,2023-08-31,2023-08-31
26,21.56,The product is not durable,54.26,4,32.7,16,58,10027 Meadow Vale Street,2023-05-21,2023-05-21
27,21.33,Very disappointed with this purchase,42.9,3,21.57,15,7,9024 Saint Paul Avenue,2023-05-27,2023-05-27
28,19.78,I love this product so much,44.45,1,24.67,15,36,027 Rieder Crossing,2023-01-09,2023-01-09
29,27.75,The product is a conversation-starter,40.4,4,12.65,14,46,3 Green Center,2023-01-05,2023-01-05
30,12.84,The product is a head-turner,33.25,5,20.41,16,32,712 Bunting Road,2023-04-05,2023-04-05
31,21.33,Very disappointed with this purchase,57.61,1,36.28,16,97,88383 Manitowish Drive,2023-06-09,2023-06-09
32,28.22,Very happy with my purchase,44.48,2,16.26,16,56,7043 Lillian Way,2023-03-28,2023-03-28
33,24.92,Would recommend to friends and family,36.93,3,12.01,13,47,7722 Schlimgen Point,2023-11-14,2023-11-14
34,26.08,Would recommend to friends and family,49.88,4,23.8,9,94,4 Washington Way,2023-05-03,2023-05-03
35,29.83,The product is exactly as described,40.07,3,10.24,10,88,52 Talmadge Street,2023-03-14,2023-03-14
36,13.91,The product is a time-saver,40.86,4,26.95,16,74,1257 Dorton Circle,2023-12-25,2023-12-25
37,15.34,I love this product so much,37.48,3,22.14,16,1,0390 South Terrace,2023-04-23,2023-04-23
38,24.36,The product is a party-starter,50.27,3,25.91,12,24,8514 Roth Park,2023-10-12,2023-10-12
39,29.77,The product is a great value for the price,53.9,2,24.13,8,25,186 Reinke Place,2023-02-05,2023-02-05
40,23.17,Highly recommend this product,45.11,1,21.94,9,93,78868 Forest Run Street,2023-04-09,2023-04-09
41,12.2,Will definitely buy again,39.15,2,26.95,13,69,49221 Monica Road,2023-02-18,2023-02-18
